"mcp_code","mcp_name","province","region","month","mean_monthly","total_monthly","month_char","pop_tot","incidence"
"11001","Aartselaar","Antwerpen","Flanders",1,2.09677419354839,65,"January",14427,45.0544118666389
"11001","Aartselaar","Antwerpen","Flanders",2,2.42857142857143,68,"February",14427,47.1338462604838
"11001","Aartselaar","Antwerpen","Flanders",3,3.67741935483871,114,"March",14427,79.0185069661052
"11001","Aartselaar","Antwerpen","Flanders",4,2.76666666666667,83,"April",14427,57.5310182297082
"11001","Aartselaar","Antwerpen","Flanders",5,1.48387096774194,46,"May",14427,31.8846607056214
"11001","Aartselaar","Antwerpen","Flanders",6,0.933333333333333,28,"June",14427,19.4080543425522
"11001","Aartselaar","Antwerpen","Flanders",7,2.67741935483871,83,"July",14427,57.5310182297082
"11001","Aartselaar","Antwerpen","Flanders",8,2.32258064516129,72,"August",14427,49.906425452277
"11001","Aartselaar","Antwerpen","Flanders",9,1.5,45,"September",14427,31.1915159076731
"11001","Aartselaar","Antwerpen","Flanders",10,5.61290322580645,174,"October",14427,120.607194843003
"11001","Aartselaar","Antwerpen","Flanders",11,21.2666666666667,638,"November",14427,442.22638109101
"11001","Aartselaar","Antwerpen","Flanders",12,9.64516129032258,299,"December",14427,207.250294586539
"11002","Antwerpen","Antwerpen","Flanders",1,100.645161290323,3120,"January",529247,58.9516804063131
"11002","Antwerpen","Antwerpen","Flanders",2,119.571428571429,3348,"February",529247,63.2596878206206
"11002","Antwerpen","Antwerpen","Flanders",3,193.193548387097,5989,"March",529247,113.160773703016
"11002","Antwerpen","Antwerpen","Flanders",4,175.566666666667,5267,"April",529247,99.5187502243754
"11002","Antwerpen","Antwerpen","Flanders",5,132.096774193548,4095,"May",529247,77.374080533286
"11002","Antwerpen","Antwerpen","Flanders",6,44.7333333333333,1342,"June",529247,25.356780482459
"11002","Antwerpen","Antwerpen","Flanders",7,58.8709677419355,1825,"July",529247,34.482954083821
"11002","Antwerpen","Antwerpen","Flanders",8,119.387096774194,3701,"August",529247,69.9295414050528
"11002","Antwerpen","Antwerpen","Flanders",9,96.6666666666667,2900,"September",529247,54.7948311468936
"11002","Antwerpen","Antwerpen","Flanders",10,171.064516129032,5303,"October",529247,100.198961921371
"11002","Antwerpen","Antwerpen","Flanders",11,454.6,13638,"November",529247,257.686864545288
"11002","Antwerpen","Antwerpen","Flanders",12,350.064516129032,10852,"December",529247,205.046037105548
"11004","Boechout","Antwerpen","Flanders",1,1.64516129032258,51,"January",13372,38.1393957523183
"11004","Boechout","Antwerpen","Flanders",2,1.78571428571429,50,"February",13372,37.3915644630571
"11004","Boechout","Antwerpen","Flanders",3,2.96774193548387,92,"March",13372,68.8004786120251
"11004","Boechout","Antwerpen","Flanders",4,3.4,102,"April",13372,76.2787915046366
"11004","Boechout","Antwerpen","Flanders",5,3.25806451612903,101,"May",13372,75.5309602153754
"11004","Boechout","Antwerpen","Flanders",6,0.733333333333333,22,"June",13372,16.4522883637451
"11004","Boechout","Antwerpen","Flanders",7,2.32258064516129,72,"July",13372,53.8438528268023
"11004","Boechout","Antwerpen","Flanders",8,2.03225806451613,63,"August",13372,47.113371223452
"11004","Boechout","Antwerpen","Flanders",9,1.76666666666667,53,"September",13372,39.6350583308406
"11004","Boechout","Antwerpen","Flanders",10,6.19354838709677,192,"October",13372,143.583607538139
"11004","Boechout","Antwerpen","Flanders",11,17.5333333333333,526,"November",13372,393.359258151361
"11004","Boechout","Antwerpen","Flanders",12,11.5483870967742,358,"December",13372,267.723601555489
"11005","Boom","Antwerpen","Flanders",1,2.51612903225806,78,"January",18555,42.037186742118
"11005","Boom","Antwerpen","Flanders",2,2.28571428571429,64,"February",18555,34.4920506601994
"11005","Boom","Antwerpen","Flanders",3,6.41935483870968,199,"March",18555,107.248720021558
"11005","Boom","Antwerpen","Flanders",4,6.16666666666667,185,"April",18555,99.7035839396389
"11005","Boom","Antwerpen","Flanders",5,3.74193548387097,116,"May",18555,62.5168418216114
"11005","Boom","Antwerpen","Flanders",6,2.1,63,"June",18555,33.9531123686338
"11005","Boom","Antwerpen","Flanders",7,2.64516129032258,82,"July",18555,44.1929399083805
"11005","Boom","Antwerpen","Flanders",8,4.93548387096774,153,"August",18555,82.4575586095392
"11005","Boom","Antwerpen","Flanders",9,3.26666666666667,98,"September",18555,52.8159525734303
"11005","Boom","Antwerpen","Flanders",10,4.96774193548387,154,"October",18555,82.9964969011048
"11005","Boom","Antwerpen","Flanders",11,19.8666666666667,596,"November",18555,321.207221773107
"11005","Boom","Antwerpen","Flanders",12,15.3870967741935,477,"December",18555,257.073565076799
"11007","Borsbeek","Antwerpen","Flanders",1,1.93548387096774,60,"January",10949,54.7995250707827
"11007","Borsbeek","Antwerpen","Flanders",2,2.5,70,"February",10949,63.9327792492465
"11007","Borsbeek","Antwerpen","Flanders",3,3.70967741935484,115,"March",10949,105.032423052334
"11007","Borsbeek","Antwerpen","Flanders",4,2.7,81,"April",10949,73.9793588455567
"11007","Borsbeek","Antwerpen","Flanders",5,2.7741935483871,86,"May",10949,78.5459859347886
"11007","Borsbeek","Antwerpen","Flanders",6,0.866666666666666,26,"June",10949,23.7464608640058
"11007","Borsbeek","Antwerpen","Flanders",7,1.61290322580645,50,"July",10949,45.6662708923189
"11007","Borsbeek","Antwerpen","Flanders",8,1.67741935483871,52,"August",10949,47.4929217280117
"11007","Borsbeek","Antwerpen","Flanders",9,1.93333333333333,58,"September",10949,52.97287423509
"11007","Borsbeek","Antwerpen","Flanders",10,6.83870967741936,212,"October",10949,193.624988583432
"11007","Borsbeek","Antwerpen","Flanders",11,12.7333333333333,382,"November",10949,348.890309617317
"11007","Borsbeek","Antwerpen","Flanders",12,6.54838709677419,203,"December",10949,185.405059822815
"11008","Brasschaat","Antwerpen","Flanders",1,4.12903225806452,128,"January",38223,33.4876906574576
"11008","Brasschaat","Antwerpen","Flanders",2,4.42857142857143,124,"February",38223,32.441200324412
"11008","Brasschaat","Antwerpen","Flanders",3,8.87096774193548,275,"March",38223,71.9462103968815
"11008","Brasschaat","Antwerpen","Flanders",4,7.6,228,"April",38223,59.6499489835963
"11008","Brasschaat","Antwerpen","Flanders",5,5.51612903225806,171,"May",38223,44.7374617376972
"11008","Brasschaat","Antwerpen","Flanders",6,2,60,"June",38223,15.6973549956832
"11008","Brasschaat","Antwerpen","Flanders",7,4.7741935483871,148,"July",38223,38.7201423226853
"11008","Brasschaat","Antwerpen","Flanders",8,3.96774193548387,123,"August",38223,32.1795777411506
"11008","Brasschaat","Antwerpen","Flanders",9,3.13333333333333,94,"September",38223,24.5925228265704
"11008","Brasschaat","Antwerpen","Flanders",10,10.3225806451613,320,"October",38223,83.7192266436439
"11008","Brasschaat","Antwerpen","Flanders",11,48.1666666666667,1445,"November",38223,378.044632812704
"11008","Brasschaat","Antwerpen","Flanders",12,30.8709677419355,957,"December",38223,250.372812181147
"11009","Brecht","Antwerpen","Flanders",1,3.41935483870968,106,"January",29454,35.9883207713723
"11009","Brecht","Antwerpen","Flanders",2,3.17857142857143,89,"February",29454,30.2166089495484
"11009","Brecht","Antwerpen","Flanders",3,6.4516129032258,200,"March",29454,67.9024920214572
"11009","Brecht","Antwerpen","Flanders",4,6.73333333333333,202,"April",29454,68.5815169416718
"11009","Brecht","Antwerpen","Flanders",5,4.70967741935484,146,"May",29454,49.5688191756637
"11009","Brecht","Antwerpen","Flanders",6,1.73333333333333,52,"June",29454,17.6546479255789
"11009","Brecht","Antwerpen","Flanders",7,2.74193548387097,85,"July",29454,28.8585591091193
"11009","Brecht","Antwerpen","Flanders",8,3,93,"August",29454,31.5746587899776
"11009","Brecht","Antwerpen","Flanders",9,2.23333333333333,67,"September",29454,22.7473348271882
"11009","Brecht","Antwerpen","Flanders",10,15.3870967741935,477,"October",29454,161.947443471175
"11009","Brecht","Antwerpen","Flanders",11,42.6333333333333,1279,"November",29454,434.236436477219
"11009","Brecht","Antwerpen","Flanders",12,25.5161290322581,791,"December",29454,268.554355944863
"11013","Edegem","Antwerpen","Flanders",1,2.25806451612903,70,"January",22261,31.4451282512017
"11013","Edegem","Antwerpen","Flanders",2,3,84,"February",22261,37.734153901442
"11013","Edegem","Antwerpen","Flanders",3,5.03225806451613,156,"March",22261,70.0777143883923
"11013","Edegem","Antwerpen","Flanders",4,4.2,126,"April",22261,56.601230852163
"11013","Edegem","Antwerpen","Flanders",5,4.7741935483871,148,"May",22261,66.4839854453978
"11013","Edegem","Antwerpen","Flanders",6,1.73333333333333,52,"June",22261,23.3592381294641
"11013","Edegem","Antwerpen","Flanders",7,4,124,"July",22261,55.7027986164144
"11013","Edegem","Antwerpen","Flanders",8,2.74193548387097,85,"August",22261,38.1833700193163
"11013","Edegem","Antwerpen","Flanders",9,3.46666666666667,104,"September",22261,46.7184762589282
"11013","Edegem","Antwerpen","Flanders",10,11.258064516129,349,"October",22261,156.776425138134
"11013","Edegem","Antwerpen","Flanders",11,26.1333333333333,784,"November",22261,352.185436413458
"11013","Edegem","Antwerpen","Flanders",12,18.7741935483871,582,"December",22261,261.443780602848
"11016","Essen","Antwerpen","Flanders",1,3.87096774193548,120,"January",19162,62.6239432209581
"11016","Essen","Antwerpen","Flanders",2,3.46428571428571,97,"February",19162,50.6210207702745
"11016","Essen","Antwerpen","Flanders",3,6.32258064516129,196,"March",19162,102.285773927565
"11016","Essen","Antwerpen","Flanders",4,4.43333333333333,133,"April",19162,69.408203736562
"11016","Essen","Antwerpen","Flanders",5,3.83870967741935,119,"May",19162,62.1020770274502
"11016","Essen","Antwerpen","Flanders",6,2.13333333333333,64,"June",19162,33.399436384511
"11016","Essen","Antwerpen","Flanders",7,1.7741935483871,55,"July",19162,28.7026406429392
"11016","Essen","Antwerpen","Flanders",8,1.74193548387097,54,"August",19162,28.1807744494312
"11016","Essen","Antwerpen","Flanders",9,1.6,48,"September",19162,25.0495772883833
"11016","Essen","Antwerpen","Flanders",10,5.03225806451613,156,"October",19162,81.4111261872456
"11016","Essen","Antwerpen","Flanders",11,21.8666666666667,656,"November",19162,342.344222941238
"11016","Essen","Antwerpen","Flanders",12,15.0322580645161,466,"December",19162,243.189646174721
"11018","Hemiksem","Antwerpen","Flanders",1,1.90322580645161,59,"January",11634,50.7134261646897
"11018","Hemiksem","Antwerpen","Flanders",2,2.64285714285714,74,"February",11634,63.606670104865
"11018","Hemiksem","Antwerpen","Flanders",3,3.32258064516129,103,"March",11634,88.5336083892041
"11018","Hemiksem","Antwerpen","Flanders",4,2.6,78,"April",11634,67.0448684889118
"11018","Hemiksem","Antwerpen","Flanders",5,2.45161290322581,76,"May",11634,65.3257692968884
"11018","Hemiksem","Antwerpen","Flanders",6,1.23333333333333,37,"June",11634,31.8033350524325
"11018","Hemiksem","Antwerpen","Flanders",7,1.83870967741935,57,"July",11634,48.9943269726663
"11018","Hemiksem","Antwerpen","Flanders",8,1.93548387096774,60,"August",11634,51.5729757607014
"11018","Hemiksem","Antwerpen","Flanders",9,1.56666666666667,47,"September",11634,40.3988310125494
"11018","Hemiksem","Antwerpen","Flanders",10,3.38709677419355,105,"October",11634,90.2527075812274
"11018","Hemiksem","Antwerpen","Flanders",11,16.2,486,"November",11634,417.741103661681
"11018","Hemiksem","Antwerpen","Flanders",12,8.38709677419355,260,"December",11634,223.482894963039
"11021","Hove (Antwerpen)","Antwerpen","Flanders",1,0.935483870967742,29,"January",8277,35.0368490999154
"11021","Hove (Antwerpen)","Antwerpen","Flanders",2,0.892857142857143,25,"February",8277,30.2041802585478
"11021","Hove (Antwerpen)","Antwerpen","Flanders",3,2.03225806451613,63,"March",8277,76.1145342515404
"11021","Hove (Antwerpen)","Antwerpen","Flanders",4,2.13333333333333,64,"April",8277,77.3227014618823
"11021","Hove (Antwerpen)","Antwerpen","Flanders",5,2.09677419354839,65,"May",8277,78.5308686722242
"11021","Hove (Antwerpen)","Antwerpen","Flanders",6,0.5,15,"June",8277,18.1225081551287
"11021","Hove (Antwerpen)","Antwerpen","Flanders",7,2.03225806451613,63,"July",8277,76.1145342515404
"11021","Hove (Antwerpen)","Antwerpen","Flanders",8,1.70967741935484,53,"August",8277,64.0328621481213
"11021","Hove (Antwerpen)","Antwerpen","Flanders",9,0.733333333333334,22,"September",8277,26.579678627522
"11021","Hove (Antwerpen)","Antwerpen","Flanders",10,3.7741935483871,117,"October",8277,141.355563610004
"11021","Hove (Antwerpen)","Antwerpen","Flanders",11,7.83333333333333,235,"November",8277,283.919294430349
"11021","Hove (Antwerpen)","Antwerpen","Flanders",12,7.2258064516129,224,"December",8277,270.629455116588
"11022","Kalmthout","Antwerpen","Flanders",1,2.12903225806452,66,"January",18872,34.9724459516744
"11022","Kalmthout","Antwerpen","Flanders",2,3.07142857142857,86,"February",18872,45.5701568461212
"11022","Kalmthout","Antwerpen","Flanders",3,3.96774193548387,123,"March",18872,65.1759220008478
"11022","Kalmthout","Antwerpen","Flanders",4,4.03333333333333,121,"April",18872,64.1161509114031
"11022","Kalmthout","Antwerpen","Flanders",5,3.25806451612903,101,"May",18872,53.5184400169563
"11022","Kalmthout","Antwerpen","Flanders",6,1.93333333333333,58,"June",18872,30.7333615938957
"11022","Kalmthout","Antwerpen","Flanders",7,2.2258064516129,69,"July",18872,36.5621025858415
"11022","Kalmthout","Antwerpen","Flanders",8,1.2258064516129,38,"August",18872,20.1356506994489
"11022","Kalmthout","Antwerpen","Flanders",9,2.06666666666667,62,"September",18872,32.8529037727851
"11022","Kalmthout","Antwerpen","Flanders",10,4.87096774193548,151,"October",18872,80.0127172530733
"11022","Kalmthout","Antwerpen","Flanders",11,24.8333333333333,745,"November",18872,394.764730818143
"11022","Kalmthout","Antwerpen","Flanders",12,17.3870967741935,539,"December",18872,285.608308605341
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",1,3.90322580645161,121,"January",26981,44.8463733738557
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",2,4.17857142857143,117,"February",26981,43.3638486342241
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",3,5.32258064516129,165,"March",26981,61.1541455098032
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",4,5.03333333333333,151,"April",26981,55.9653089210926
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",5,6.19354838709677,192,"May",26981,71.1611875023164
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",6,2.4,72,"June",26981,26.6854453133687
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",7,3.12903225806452,97,"July",26981,35.9512249360661
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",8,2.58064516129032,80,"August",26981,29.6504947926319
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",9,2.06666666666667,62,"September",26981,22.9791334642897
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",10,9.67741935483871,300,"October",26981,111.189355472369
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",11,28.6,858,"November",26981,318.001556650977
"11023","Kapellen (Antwerpen)","Antwerpen","Flanders",12,23.8064516129032,738,"December",26981,273.525814462029
"11024","Kontich","Antwerpen","Flanders",1,2.70967741935484,84,"January",21203,39.6170353251898
"11024","Kontich","Antwerpen","Flanders",2,1.75,49,"February",21203,23.1099372730274
"11024","Kontich","Antwerpen","Flanders",3,5.80645161290323,180,"March",21203,84.8936471254068
"11024","Kontich","Antwerpen","Flanders",4,4.63333333333333,139,"April",21203,65.5567608357308
"11024","Kontich","Antwerpen","Flanders",5,3.48387096774194,108,"May",21203,50.9361882752441
"11024","Kontich","Antwerpen","Flanders",6,1.53333333333333,46,"June",21203,21.6950431542706
"11024","Kontich","Antwerpen","Flanders",7,2.74193548387097,85,"July",21203,40.0886666981088
"11024","Kontich","Antwerpen","Flanders",8,2.48387096774194,77,"August",21203,36.3156157147573
"11024","Kontich","Antwerpen","Flanders",9,3.23333333333333,97,"September",21203,45.7482431731359
"11024","Kontich","Antwerpen","Flanders",10,8.61290322580645,267,"October",21203,125.925576569353
"11024","Kontich","Antwerpen","Flanders",11,26,780,"November",21203,367.872470876763
"11024","Kontich","Antwerpen","Flanders",12,14.7096774193548,456,"December",21203,215.06390605103
"11025","Lint","Antwerpen","Flanders",1,2.48387096774194,77,"January",8641,89.1100567063997
"11025","Lint","Antwerpen","Flanders",2,1.21428571428571,34,"February",8641,39.3472977664622
"11025","Lint","Antwerpen","Flanders",3,3.12903225806452,97,"March",8641,112.255525980789
"11025","Lint","Antwerpen","Flanders",4,1.13333333333333,34,"April",8641,39.3472977664622
"11025","Lint","Antwerpen","Flanders",5,1.61290322580645,50,"May",8641,57.8636731859738
"11025","Lint","Antwerpen","Flanders",6,0.566666666666667,17,"June",8641,19.6736488832311
"11025","Lint","Antwerpen","Flanders",7,1.51612903225806,47,"July",8641,54.3918527948154
"11025","Lint","Antwerpen","Flanders",8,1,31,"August",8641,35.8754773753038
"11025","Lint","Antwerpen","Flanders",9,0.866666666666666,26,"September",8641,30.0891100567064
"11025","Lint","Antwerpen","Flanders",10,4.38709677419355,136,"October",8641,157.389191065849
"11025","Lint","Antwerpen","Flanders",11,9.83333333333333,295,"November",8641,341.395671797246
"11025","Lint","Antwerpen","Flanders",12,7.7741935483871,241,"December",8641,278.902904756394
"11029","Mortsel","Antwerpen","Flanders",1,3.38709677419355,105,"January",26157,40.1422181442826
"11029","Mortsel","Antwerpen","Flanders",2,3.21428571428571,90,"February",26157,34.4076155522422
"11029","Mortsel","Antwerpen","Flanders",3,5.41935483870968,168,"March",26157,64.2275490308522
"11029","Mortsel","Antwerpen","Flanders",4,6.56666666666667,197,"April",26157,75.3144473754635
"11029","Mortsel","Antwerpen","Flanders",5,5.83870967741936,181,"May",26157,69.1975379439538
"11029","Mortsel","Antwerpen","Flanders",6,1.76666666666667,53,"June",26157,20.262262491876
"11029","Mortsel","Antwerpen","Flanders",7,3.93548387096774,122,"July",26157,46.6414344152617
"11029","Mortsel","Antwerpen","Flanders",8,2.83870967741935,88,"August",26157,33.6430018733035
"11029","Mortsel","Antwerpen","Flanders",9,3.73333333333333,112,"September",26157,42.8183660205681
"11029","Mortsel","Antwerpen","Flanders",10,12.8064516129032,397,"October",26157,151.775815269335
"11029","Mortsel","Antwerpen","Flanders",11,32.1666666666667,965,"November",26157,368.926100087931
"11029","Mortsel","Antwerpen","Flanders",12,21.5161290322581,667,"December",26157,254.998661926062
"11030","Niel","Antwerpen","Flanders",1,1.32258064516129,41,"January",10546,38.8772994500284
"11030","Niel","Antwerpen","Flanders",2,1.85714285714286,52,"February",10546,49.3077944244263
"11030","Niel","Antwerpen","Flanders",3,3.87096774193548,120,"March",10546,113.787217902522
"11030","Niel","Antwerpen","Flanders",4,2.63333333333333,79,"April",10546,74.9099184524938
"11030","Niel","Antwerpen","Flanders",5,1.7741935483871,55,"May",10546,52.1524748719894
"11030","Niel","Antwerpen","Flanders",6,0.733333333333334,22,"June",10546,20.8609899487958
"11030","Niel","Antwerpen","Flanders",7,1.83870967741935,57,"July",10546,54.0489285036981
"11030","Niel","Antwerpen","Flanders",8,2.06451612903226,64,"August",10546,60.6865162146785
"11030","Niel","Antwerpen","Flanders",9,1.8,54,"September",10546,51.204248056135
"11030","Niel","Antwerpen","Flanders",10,3.29032258064516,102,"October",10546,96.7191352171439
"11030","Niel","Antwerpen","Flanders",11,16.6,498,"November",10546,472.216954295467
