"mcp_code","mcp_name","province","region","month","mean_monthly","total_monthly"
11001,"Aartselaar","Antwerpen","Flanders",1,1.67741935483871,52
11001,"Aartselaar","Antwerpen","Flanders",2,1.82142857142857,51
11001,"Aartselaar","Antwerpen","Flanders",3,3.54838709677419,110
11001,"Aartselaar","Antwerpen","Flanders",4,2.4,72
11001,"Aartselaar","Antwerpen","Flanders",5,1.2258064516129,38
11001,"Aartselaar","Antwerpen","Flanders",6,1,30
11001,"Aartselaar","Antwerpen","Flanders",7,2.12903225806452,66
11001,"Aartselaar","Antwerpen","Flanders",8,2.2258064516129,69
11001,"Aartselaar","Antwerpen","Flanders",9,1.7,51
11001,"Aartselaar","Antwerpen","Flanders",10,5.48387096774194,170
11001,"Aartselaar","Antwerpen","Flanders",11,21.2666666666667,638
11001,"Aartselaar","Antwerpen","Flanders",12,9.45161290322581,293
11002,"Antwerpen","Antwerpen","Flanders",1,100.645161290323,3120
11002,"Antwerpen","Antwerpen","Flanders",2,119.571428571429,3348
11002,"Antwerpen","Antwerpen","Flanders",3,193.193548387097,5989
11002,"Antwerpen","Antwerpen","Flanders",4,175.566666666667,5267
11002,"Antwerpen","Antwerpen","Flanders",5,132.096774193548,4095
11002,"Antwerpen","Antwerpen","Flanders",6,44.7333333333333,1342
11002,"Antwerpen","Antwerpen","Flanders",7,58.8709677419355,1825
11002,"Antwerpen","Antwerpen","Flanders",8,119.387096774194,3701
11002,"Antwerpen","Antwerpen","Flanders",9,96.6666666666667,2900
11002,"Antwerpen","Antwerpen","Flanders",10,171.064516129032,5303
11002,"Antwerpen","Antwerpen","Flanders",11,454.6,13638
11002,"Antwerpen","Antwerpen","Flanders",12,350.064516129032,10852
11004,"Boechout","Antwerpen","Flanders",1,1.38709677419355,43
11004,"Boechout","Antwerpen","Flanders",2,1.14285714285714,32
11004,"Boechout","Antwerpen","Flanders",3,2.58064516129032,80
11004,"Boechout","Antwerpen","Flanders",4,3.13333333333333,94
11004,"Boechout","Antwerpen","Flanders",5,2.67741935483871,83
