"","mcp_code","province","region","month","week_num","cases_per_week"
"1",11001,"Antwerpen","Flanders",1,1,13
"2",11001,"Antwerpen","Flanders",1,2,9
"3",11001,"Antwerpen","Flanders",1,3,18
"4",11001,"Antwerpen","Flanders",1,4,19
"5",11001,"Antwerpen","Flanders",1,5,6
"6",11001,"Antwerpen","Flanders",2,5,13
"7",11001,"Antwerpen","Flanders",2,6,15
"8",11001,"Antwerpen","Flanders",2,7,10
"9",11001,"Antwerpen","Flanders",2,8,20
"10",11001,"Antwerpen","Flanders",2,9,10
"11",11001,"Antwerpen","Flanders",3,9,8
"12",11001,"Antwerpen","Flanders",3,10,30
"13",11001,"Antwerpen","Flanders",3,11,25
"14",11001,"Antwerpen","Flanders",3,12,30
"15",11001,"Antwerpen","Flanders",3,13,21
"16",11001,"Antwerpen","Flanders",4,13,4
"17",11001,"Antwerpen","Flanders",4,14,15
"18",11001,"Antwerpen","Flanders",4,15,27
"19",11001,"Antwerpen","Flanders",4,16,19
"20",11001,"Antwerpen","Flanders",4,17,16
"21",11001,"Antwerpen","Flanders",4,18,2
"22",11001,"Antwerpen","Flanders",5,18,11
"23",11001,"Antwerpen","Flanders",5,19,6
"24",11001,"Antwerpen","Flanders",5,20,12
"25",11001,"Antwerpen","Flanders",5,21,16
"26",11001,"Antwerpen","Flanders",5,22,1
"27",11001,"Antwerpen","Flanders",6,22,6
"28",11001,"Antwerpen","Flanders",6,23,8
"29",11001,"Antwerpen","Flanders",6,24,11
"30",11001,"Antwerpen","Flanders",6,25,0
"31",11001,"Antwerpen","Flanders",6,26,3
"32",11001,"Antwerpen","Flanders",7,26,0
"33",11001,"Antwerpen","Flanders",7,27,9
"34",11001,"Antwerpen","Flanders",7,28,27
"35",11001,"Antwerpen","Flanders",7,29,16
"36",11001,"Antwerpen","Flanders",7,30,24
"37",11001,"Antwerpen","Flanders",7,31,7
"38",11001,"Antwerpen","Flanders",8,31,16
"39",11001,"Antwerpen","Flanders",8,32,14
"40",11001,"Antwerpen","Flanders",8,33,19
"41",11001,"Antwerpen","Flanders",8,34,12
"42",11001,"Antwerpen","Flanders",8,35,11
"43",11001,"Antwerpen","Flanders",9,35,4
