"","mcp_code","mcp_name","province","region","week_num","cases_per_week"
"1",11001,"Aartselaar","Antwerpen","Flanders",1,14
"2",11001,"Aartselaar","Antwerpen","Flanders",2,9
"3",11001,"Aartselaar","Antwerpen","Flanders",3,14
"4",11001,"Aartselaar","Antwerpen","Flanders",4,21
"5",11001,"Aartselaar","Antwerpen","Flanders",5,15
"6",11001,"Aartselaar","Antwerpen","Flanders",6,14
"7",11001,"Aartselaar","Antwerpen","Flanders",7,10
"8",11001,"Aartselaar","Antwerpen","Flanders",8,23
"9",11001,"Aartselaar","Antwerpen","Flanders",9,21
"10",11001,"Aartselaar","Antwerpen","Flanders",10,35
"11",11001,"Aartselaar","Antwerpen","Flanders",11,21
"12",11001,"Aartselaar","Antwerpen","Flanders",12,31
"13",11001,"Aartselaar","Antwerpen","Flanders",13,23
"14",11001,"Aartselaar","Antwerpen","Flanders",14,17
"15",11001,"Aartselaar","Antwerpen","Flanders",15,27
"16",11001,"Aartselaar","Antwerpen","Flanders",16,20
"17",11001,"Aartselaar","Antwerpen","Flanders",17,10
"18",11001,"Aartselaar","Antwerpen","Flanders",18,14
"19",11001,"Aartselaar","Antwerpen","Flanders",19,5
"20",11001,"Aartselaar","Antwerpen","Flanders",20,13
"21",11001,"Aartselaar","Antwerpen","Flanders",21,22
"22",11001,"Aartselaar","Antwerpen","Flanders",22,11
"23",11001,"Aartselaar","Antwerpen","Flanders",23,14
"24",11001,"Aartselaar","Antwerpen","Flanders",24,9
"25",11001,"Aartselaar","Antwerpen","Flanders",25,0
"26",11001,"Aartselaar","Antwerpen","Flanders",26,5
"27",11001,"Aartselaar","Antwerpen","Flanders",27,8
"28",11001,"Aartselaar","Antwerpen","Flanders",28,26
"29",11001,"Aartselaar","Antwerpen","Flanders",29,17
"30",11001,"Aartselaar","Antwerpen","Flanders",30,27
"31",11001,"Aartselaar","Antwerpen","Flanders",31,20
"32",11001,"Aartselaar","Antwerpen","Flanders",32,15
"33",11001,"Aartselaar","Antwerpen","Flanders",33,13
"34",11001,"Aartselaar","Antwerpen","Flanders",34,10
"35",11001,"Aartselaar","Antwerpen","Flanders",35,19
"36",11001,"Aartselaar","Antwerpen","Flanders",36,15
"37",11001,"Aartselaar","Antwerpen","Flanders",37,9
"38",11001,"Aartselaar","Antwerpen","Flanders",38,6
"39",11001,"Aartselaar","Antwerpen","Flanders",39,15
"40",11001,"Aartselaar","Antwerpen","Flanders",40,22
"41",11001,"Aartselaar","Antwerpen","Flanders",41,11
"42",11001,"Aartselaar","Antwerpen","Flanders",42,36
"43",11001,"Aartselaar","Antwerpen","Flanders",43,65
"44",11001,"Aartselaar","Antwerpen","Flanders",44,91
"45",11001,"Aartselaar","Antwerpen","Flanders",45,122
"46",11001,"Aartselaar","Antwerpen","Flanders",46,145
"47",11001,"Aartselaar","Antwerpen","Flanders",47,205
"48",11001,"Aartselaar","Antwerpen","Flanders",48,154
"49",11001,"Aartselaar","Antwerpen","Flanders",49,106
"50",11001,"Aartselaar","Antwerpen","Flanders",50,66
"51",11001,"Aartselaar","Antwerpen","Flanders",51,37
"52",11001,"Aartselaar","Antwerpen","Flanders",52,46
"53",11002,"Antwerpen","Antwerpen","Flanders",1,604
"54",11002,"Antwerpen","Antwerpen","Flanders",2,634
"55",11002,"Antwerpen","Antwerpen","Flanders",3,764
"56",11002,"Antwerpen","Antwerpen","Flanders",4,843
"57",11002,"Antwerpen","Antwerpen","Flanders",5,771
"58",11002,"Antwerpen","Antwerpen","Flanders",6,751
"59",11002,"Antwerpen","Antwerpen","Flanders",7,792
"60",11002,"Antwerpen","Antwerpen","Flanders",8,1015
"61",11002,"Antwerpen","Antwerpen","Flanders",9,926
"62",11002,"Antwerpen","Antwerpen","Flanders",10,1000
"63",11002,"Antwerpen","Antwerpen","Flanders",11,1531
"64",11002,"Antwerpen","Antwerpen","Flanders",12,1587
"65",11002,"Antwerpen","Antwerpen","Flanders",13,1462
"66",11002,"Antwerpen","Antwerpen","Flanders",14,1268
"67",11002,"Antwerpen","Antwerpen","Flanders",15,1264
"68",11002,"Antwerpen","Antwerpen","Flanders",16,1228
