"mcp_code","week_num","cumul_week"
11001,"1",15
11001,"10",1878
11001,"11",2205
11001,"12",2430
11001,"13",3053
11001,"14",3887
11001,"15",4990
11001,"16",5592
11001,"17",5951
11001,"18",6718
11001,"19",7825
11001,"2",181
11001,"20",8829
11001,"21",9674
11001,"22",10525
11001,"23",12120
11001,"24",13761
11001,"25",14871
11001,"26",15621
11001,"27",16976
11001,"28",18182
11001,"29",19628
11001,"3",482
11001,"30",20364
11001,"31",21262
11001,"32",21826
11001,"33",22326
11001,"34",22711
11001,"35",23200
11001,"36",23326
11001,"37",23460
11001,"38",23553
11001,"39",23993
11001,"4",545
11001,"40",24058
11001,"41",24590
11001,"42",24627
11001,"43",24695
11001,"44",24723
11001,"45",24738
11001,"46",25446
11001,"47",26345
11001,"48",27182
11001,"49",27989
11001,"5",771
11001,"50",28930
11001,"51",29573
11001,"52",29618
11001,"6",1073
11001,"7",1281
11001,"8",1397
11001,"9",1581
11002,"1",126
11002,"10",40506
11002,"11",51742
11002,"12",62481
11002,"13",76133
11002,"14",88066
11002,"15",109554
11002,"16",124901
11002,"17",136629
11002,"18",164445
11002,"19",188185
11002,"2",3369
11002,"20",222171
11002,"21",249493
11002,"22",289796
11002,"23",332306
11002,"24",380782
11002,"25",432120
11002,"26",470648
11002,"27",516869
11002,"28",547012
11002,"29",584525
11002,"3",8232
11002,"30",620297
11002,"31",644359
11002,"32",660419
11002,"33",673248
11002,"34",686120
11002,"35",699318
11002,"36",706847
11002,"37",715822
11002,"38",726278
11002,"39",735999
11002,"4",10899
11002,"40",743057
11002,"41",751184
11002,"42",758712
11002,"43",765819
11002,"44",770174
11002,"45",775966
11002,"46",786357
11002,"47",816021
11002,"48",847989
11002,"49",856623
11002,"5",15692
11002,"50",878919
11002,"51",953091
11002,"52",965672
11002,"6",20267
11002,"7",25012
11002,"8",30372
11002,"9",37025
11004,"1",44
11004,"10",1952
11004,"11",2239
11004,"12",2562
11004,"13",2977
11004,"14",3528
11004,"15",4396
11004,"16",4891
11004,"17",5389
11004,"18",6192
11004,"19",7007
11004,"2",184
11004,"20",8195
11004,"21",8941
11004,"22",10343
11004,"23",11424
11004,"24",12874
11004,"25",14040
11004,"26",14625
11004,"27",16222
11004,"28",16931
11004,"29",18078
11004,"3",393
11004,"30",19578
11004,"31",20169
11004,"32",20865
11004,"33",21151
11004,"34",21541
11004,"35",21860
11004,"36",21914
